index,status,train_end,param_num_boost_round,param_learning_rate,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_lambda_l1,param_lambda_l2,param_early_stopping_rounds,train_ic,train_ir,val_ic,val_ir,n_train_dates,n_val_dates,train_val_gap
333,ok,1800,200,0.05,48,0.8,0.7,80,0.0,0.1,30,0.24942773471630908,1.244687564069959,0.061491013937159125,0.3716351234305759,1796,158,0.18793672077914997
334,ok,1800,240,0.05,48,0.7,0.7,30,0.001,0.01,20,0.35547577348355885,1.7261857960385623,0.06316817849232306,0.3666803155830564,1796,158,0.2923075949912358
335,ok,1800,200,0.05,48,0.8,0.8,80,0.0,0.1,20,0.2519962046096499,1.2618642017150334,0.05904956318248432,0.343066532523274,1796,158,0.19294664142716555
336,ok,1800,240,0.05,48,0.8,0.7,50,0.01,0.1,30,0.3078788973893565,1.5696444721428828,0.07364899544050856,0.42588501652494964,1796,158,0.2342299019488479
337,ok,1800,160,0.03,31,0.8,0.8,50,0.0,0.01,30,0.3262057899887944,1.7199365787687237,0.07024757991466854,0.40520991669465556,1796,158,0.2559582100741259
338,ok,1800,240,0.07,48,0.7,0.6,80,0.001,0.01,30,0.23153845814076973,1.1604405608200297,0.06275201265649405,0.3542896574812092,1796,158,0.16878644548427568
339,ok,1800,160,0.03,16,0.7,0.6,30,0.01,0.1,30,0.30021312884690543,1.4879876622326411,0.07738376445936918,0.4116556698689826,1796,158,0.22282936438753626
340,ok,1800,280,0.03,16,0.8,0.7,80,0.0,0.1,20,0.2463549849146455,1.1869907614363508,0.07217765991905743,0.39221706208405294,1796,158,0.17417732499558808
341,ok,1800,160,0.07,48,0.6,0.6,30,0.001,0.1,30,0.30168989779733296,1.453120580719684,0.0562153444181254,0.31543204692646293,1796,158,0.24547455337920757
342,ok,1800,200,0.05,31,0.8,0.6,80,0.001,0.1,10,0.19598557661456212,0.932851235152375,0.06436507023651492,0.31629146134436775,1796,158,0.1316205063780472
343,ok,1800,200,0.07,31,0.6,0.7,80,0.001,0.01,30,0.24147484657204582,1.2106261905501656,0.0682418544728835,0.38547683994385235,1796,158,0.17323299209916232
344,ok,1800,280,0.03,16,0.6,0.8,80,0.01,0.1,20,0.24599001359431746,1.2217373289843323,0.06570340144183971,0.3573834618940757,1796,158,0.18028661215247777
345,ok,1800,160,0.03,48,0.8,0.6,30,0.01,0.001,30,0.3496347842531403,1.7627287540578012,0.07357519599527279,0.42019843232578946,1796,158,0.2760595882578675
346,ok,1800,200,0.07,16,0.8,0.7,50,0.01,0.01,10,0.2745006515681216,1.373431880688726,0.06454961889669125,0.4084992372805491,1796,158,0.20995103267143034
347,ok,1800,160,0.05,31,0.6,0.6,80,0.0,0.01,20,0.2153749432444468,1.0507803922905905,0.06541911915935222,0.3616116613160821,1796,158,0.14995582408509459
348,ok,1800,200,0.07,31,0.7,0.7,30,0.01,0.01,10,0.32282939476312283,1.526740452063009,0.05255027990994664,0.3204399292997403,1796,158,0.2702791148531762
349,ok,1800,200,0.05,31,0.8,0.6,80,0.001,0.01,20,0.2122298137391402,1.0426928897364736,0.06692291917790034,0.3268521097372018,1796,158,0.14530689456123985
350,ok,1800,200,0.03,31,0.7,0.6,50,0.0,0.1,30,0.2740736332589547,1.3669565282555933,0.06949048393666143,0.3497169327153807,1796,158,0.20458314932229324
351,ok,1800,200,0.03,48,0.7,0.6,50,0.0,0.1,30,0.2740736332589547,1.3669565282555933,0.06949048393666143,0.3497169327153807,1796,158,0.20458314932229324
352,ok,1800,280,0.07,16,0.6,0.7,80,0.001,0.01,30,0.24147484657204582,1.2106261905501656,0.0682418544728835,0.38547683994385235,1796,158,0.17323299209916232
353,ok,1800,160,0.05,16,0.6,0.7,80,0.01,0.1,30,0.2559332127317432,1.256129913842404,0.0636051955411528,0.36143997964043134,1796,158,0.1923280171905904
354,ok,1800,280,0.03,31,0.6,0.8,50,0.01,0.01,10,0.2691178871240658,1.3028462669442058,0.06802338022738016,0.36570084922287355,1796,158,0.20109450689668565
355,ok,1800,240,0.05,16,0.6,0.8,50,0.001,0.1,10,0.2655579925618143,1.3057215248024672,0.07624225539947392,0.4655854761583543,1796,158,0.18931573716234035
356,ok,1800,200,0.05,48,0.8,0.8,30,0.001,0.001,10,0.37506824428809304,1.9646187269311968,0.05000527038295659,0.2947907529272861,1796,158,0.32506297390513644
357,ok,1800,160,0.07,48,0.8,0.7,50,0.0,0.01,10,0.2821916344287627,1.3839523771651512,0.06055595537306823,0.3579539875039744,1796,158,0.22163567905569448
358,ok,1800,240,0.03,31,0.7,0.6,50,0.01,0.1,20,0.2542289419428383,1.2514499628224856,0.06742123281362432,0.35277808739504435,1796,158,0.18680770912921396
359,ok,1800,240,0.05,31,0.7,0.8,50,0.0,0.01,20,0.2995337229901895,1.5445068866209386,0.049028518573813365,0.2904544158830081,1796,158,0.25050520441637614
360,ok,1800,200,0.03,48,0.7,0.7,80,0.001,0.001,30,0.2533868446908977,1.2351515670930406,0.06946823369125944,0.37283740325643094,1796,158,0.18391861099963824
361,ok,1800,200,0.05,48,0.7,0.7,30,0.001,0.001,30,0.37206056239675045,1.8615837748789918,0.06059330368667155,0.351472951199421,1796,158,0.3114672587100789
