index,status,param_train_end,param_num_boost_round,param_learning_rate,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_lambda_l1,param_lambda_l2,param_early_stopping_rounds,train_ic,train_ir,val_ic,val_ir,n_train_dates,n_val_dates,train_val_gap
102,ok,1700,200,0.07,31,0.7,0.8,30,0.0,0.001,20,0.3864701530749979,1.8248672271710242,0.06309593680386905,0.35559971744136953,1695,257,0.32337421627112883
103,ok,1800,280,0.03,31,0.6,0.7,80,0.0,0.001,30,0.28060711410880046,1.3236276610325597,0.1042983724792857,0.5319445210930123,1795,157,0.17630874162951476
104,ok,1800,240,0.05,48,0.7,0.6,50,0.0,0.01,30,0.33234371645820204,1.659864892591308,0.10322457008499278,0.5944317101165639,1795,157,0.22911914637320926
105,ok,1750,280,0.03,48,0.7,0.6,50,0.001,0.001,10,0.2858281447021356,1.3113889846223425,0.09125005814044611,0.47440743409809766,1745,207,0.19457808656168946
106,ok,1800,160,0.03,16,0.7,0.8,80,0.001,0.01,30,0.30349634050742375,1.452500008043459,0.10064583662360677,0.522660313522864,1795,157,0.20285050388381698
107,ok,1800,200,0.05,48,0.8,0.6,50,0.001,0.1,10,0.30500218257362,1.4685586753642423,0.10264222162046936,0.5812885880946583,1795,157,0.20235996095315062
108,ok,1700,240,0.03,48,0.8,0.6,30,0.001,0.001,10,0.3265128775368939,1.4599336264819445,0.08010607067867753,0.37661616990665286,1695,257,0.24640680685821637
109,ok,1750,200,0.03,31,0.8,0.8,80,0.0,0.1,10,0.23900774495532487,1.0252693192772555,0.0817668895751529,0.38666876773835546,1745,207,0.15724085538017196
110,ok,1800,160,0.03,48,0.8,0.6,80,0.01,0.01,30,0.2691524656554367,1.2898272642278088,0.10424464963500242,0.539695016050034,1795,157,0.1649078160204343
111,ok,1700,240,0.05,48,0.7,0.8,80,0.001,0.1,10,0.2641053342895057,1.1279453746442842,0.07547045547914256,0.3797966527415583,1695,257,0.18863487881036317
112,ok,1700,240,0.07,16,0.8,0.8,30,0.0,0.01,10,0.32453658458522827,1.4616277988243234,0.0699196855675716,0.3870479695126674,1695,257,0.25461689901765666
113,ok,1800,200,0.05,48,0.6,0.6,80,0.01,0.1,20,0.2723243026842842,1.2922145143400452,0.09430449617508867,0.5281812161249374,1795,157,0.17801980650919552
114,ok,1700,240,0.03,48,0.6,0.7,80,0.001,0.1,30,0.2621679170847302,1.1471197005232323,0.07042520929115882,0.34566975313894455,1695,257,0.1917427077935714
115,ok,1800,160,0.03,31,0.6,0.8,50,0.01,0.1,30,0.3615012183449057,1.7793305883670623,0.0921015323373416,0.5078725864264048,1795,157,0.2693996860075641
116,ok,1800,160,0.03,16,0.6,0.6,50,0.01,0.1,30,0.3096322101480586,1.5255829907744367,0.11251332942254645,0.5994213652045057,1795,157,0.19711888072551215
117,ok,1800,160,0.07,48,0.6,0.7,80,0.0,0.1,30,0.29678451199595823,1.4497126620353904,0.09362633013734639,0.5779861255912287,1795,157,0.20315818185861184
118,ok,1750,160,0.03,48,0.7,0.8,30,0.001,0.001,30,0.4163452724469276,2.111302165835297,0.091081800760722,0.4971386287534347,1745,207,0.3252634716862056
119,ok,1700,200,0.05,16,0.7,0.6,80,0.0,0.01,30,0.24846891932271106,1.110025237846075,0.07144232122282727,0.3912611973094438,1695,257,0.1770265980998838
