index,status,train_end,param_num_boost_round,param_learning_rate,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_lambda_l1,param_lambda_l2,param_early_stopping_rounds,train_ic,train_ir,val_ic,val_ir,n_train_dates,n_val_dates,train_val_gap
626,ok,1800,280,0.05,16,0.7,0.6,50,0.001,0.01,10,0.3117085755794533,1.5153083492796366,0.08992027628734127,0.5373279432759595,1793,155,0.22178829929211202
627,ok,1800,200,0.07,31,0.8,0.6,30,0.001,0.1,30,0.4063942470819731,2.2229198275501987,0.08440179400455011,0.5211086900519416,1793,155,0.32199245307742297
628,ok,1800,240,0.07,31,0.7,0.6,50,0.01,0.01,20,0.33223837579524695,1.6677136096057934,0.09402314084783825,0.5731640309306583,1793,155,0.2382152349474087
629,ok,1800,240,0.07,31,0.8,0.6,30,0.01,0.001,10,0.40045498725828904,2.073747253711369,0.08540799196006316,0.5048435058209084,1793,155,0.3150469952982259
630,ok,1800,200,0.03,16,0.8,0.6,50,0.001,0.001,10,0.2893916649590686,1.3690868125572184,0.09726452368483572,0.4956756991715343,1793,155,0.19212714127423286
631,ok,1800,200,0.03,48,0.8,0.7,50,0.001,0.1,30,0.34953775402245146,1.8010073597495655,0.10512103318618056,0.594310444726688,1793,155,0.24441672083627092
632,ok,1800,160,0.07,16,0.7,0.8,30,0.001,0.1,30,0.3860694695364938,1.9913383997516239,0.08814293789686496,0.5267220609203601,1793,155,0.29792653163962884
633,ok,1800,200,0.07,31,0.6,0.8,80,0.001,0.1,10,0.3303038602046245,1.690256024738954,0.09155056031029334,0.5430135095823085,1793,155,0.23875329989433114
634,ok,1800,160,0.07,16,0.7,0.8,30,0.0,0.001,30,0.3897747957465594,2.025597756581653,0.09134238465770005,0.570023403197433,1793,155,0.2984324110888593
635,ok,1800,160,0.03,31,0.6,0.7,30,0.001,0.1,10,0.41428883453456183,2.1258069915924147,0.11836654975791107,0.6942615490268651,1793,155,0.2959222847766508
636,ok,1800,240,0.03,48,0.7,0.8,30,0.01,0.01,10,0.42738969397464316,2.315171885916872,0.10102065375069219,0.5431587039478608,1793,155,0.32636904022395097
637,ok,1800,240,0.07,48,0.7,0.7,80,0.01,0.1,10,0.2960543650021519,1.4387891909146204,0.0862573380408665,0.5086320179921298,1793,155,0.20979702696128538
638,ok,1800,280,0.05,31,0.7,0.6,50,0.01,0.1,20,0.326216751659482,1.6198408096493615,0.08919368679898648,0.4657850119970618,1793,155,0.2370230648604955
639,ok,1800,200,0.07,16,0.7,0.8,80,0.01,0.1,30,0.3409191121076052,1.787442536472576,0.09487641956841891,0.5413310263255351,1793,155,0.24604269253918631
640,ok,1800,240,0.05,16,0.7,0.7,80,0.01,0.1,10,0.2915503182930214,1.4195040900150255,0.09262212055170396,0.5550501346045386,1793,155,0.19892819774131745
641,ok,1800,240,0.05,16,0.7,0.8,50,0.01,0.01,20,0.35445103297921937,1.8013761459693172,0.10026255482840452,0.5160166003522765,1793,155,0.25418847815081486
642,ok,1800,280,0.03,16,0.6,0.6,30,0.01,0.1,10,0.327913283886799,1.615178721288217,0.10977944909875718,0.6175009617760563,1793,155,0.21813383478804182
643,ok,1800,200,0.05,16,0.8,0.6,80,0.01,0.1,20,0.2595376359105048,1.2553657906510418,0.10704399745384541,0.5911054213841014,1793,155,0.15249363845665942
644,ok,1800,240,0.03,16,0.8,0.8,30,0.001,0.01,10,0.3401093050541874,1.6597353811456617,0.1026780017262773,0.5675239297656866,1793,155,0.23743130332791013
645,ok,1800,280,0.07,16,0.6,0.6,30,0.0,0.1,30,0.3512257800957182,1.7949430290810409,0.09283392705123142,0.5579963899914921,1793,155,0.25839185304448675
